sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;39;10;1505;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT_DOWN;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;1.2616201859229748;20.65073_15.86985_12.3506_1.26162_20.51793_16.00266_12.08499_1.26162;0;
;;;;;;;;;;;;;;;;39;11;28;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT_UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;24.137931034482758;0.0_10.34483_27.58621_6.89655_10.34483_10.34483_10.34483_24.13793;0;
;;;;;;;;;;;;;;;;39;12;924;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_2.0_2.0;LEFT_DOWN;ZONA_ATAQUE_AGENTE_DESTRUIDO_2.0_2.0;-0.09999999999999998;-1.0;5.513513513513513;25.40541_3.67568_18.05405_1.62162_28.0_4.86486_12.86486_5.51351;0;
;;;;;;;;;;;;;;;;39;13;749;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.9;-1.0;0.8;2.4_44.53333_2.93333_0.4_2.0_45.06667_1.86667_0.8;1;
;;;;;;;;;;;;;;;;39;14;1150;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;LEFT;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.8;-1.0;0.6081668114682884;14.68288_26.4987_14.50912_0.86881_1.65074_39.09644_2.08514_0.60817;1;
;;;;;;;;;;;;;;;;39;15;1536;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_2.0_2.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_2.0_2.0;0.5;-1.0;1.236174365647365;7.09174_40.27326_1.69161_0.91087_7.28692_40.33832_1.17111_1.23617;1;
;;;;;;;;;;;;;;;;39;16;78;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;8.860759493670885;11.39241_11.39241_17.72152_8.86076_12.65823_8.86076_20.25316_8.86076;0;
;;;;;;;;;;;;;;;;39;17;70;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;RIGHT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;7.042253521126761;11.26761_11.26761_19.71831_9.85915_9.85915_8.4507_22.53521_7.04225;0;
;;;;;;;;;;;;;;;;39;18;58;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT_UP;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;15.254237288135593;13.55932_16.94915_5.08475_13.55932_15.25424_13.55932_6.77966_15.25424;0;
;;;;;;;;;;;;;;;;39;19;215;LEFT_UP;VIDA_BAJA_ZONA_EMBOSCADA_1.0_1.0;LEFT;ZONA_EMBOSCADA_AGENTE_DESTRUIDO_1.0_1.0;-0.9;-1.0;1.3888888888888888;40.74074_3.7037_3.7037_1.85185_40.74074_2.77778_5.09259_1.38889;0;
